name
Robert De Niro
Jodie Foster
Albert Brooks
Harvey Keitel
Cybill Shepherd
Peter Boyle
Leonard Harris
Diahnne Abbott
Gino Ardito
Martin Scorsese
Murray Moston
Richard Higgs
Bill Minkin
Bob Maroff
Victor Argo
Joe Spinell
Robinson Frank Adu
Brenda Dickson
Norman Matlock
Harry Northup
Harlan Cary Poe
Steven Prince
Peter Savage
Nicholas Shields
Ralph S. Singleton
Annie Gagen
Carson Grant
Mary-Pat Green
Debbi Morgan
Don Stroud
Copper Cunningham
Garth Avery
Nat Grant
Billie Perkins
Catherine Scorsese
Charles Scorsese
Graham Chapman
John Cleese
Eric Idle
Terry Gilliam
Terry Jones
Michael Palin
Connie Booth
Carol Cleveland
Neil Innes
Bee Duffell
John Young
Rita Davies
Avril Stewart
Sally Kinghorn
Mark Zycon
Elspeth Cameron
Mitsuko Forstater
Sandy Johnson
Sandy Rose
Romilly Squire
Joni Flynn
Alison Walker
Loraine Ward
Anna Lanski
Sally Coombe
Vivienne MacDonald
Yvonne Dick
Daphne Darling
Fiona Gordon
Judy Lamb
Tracy Sneddon
Joyce Pollner
Mary Allen
Gloria Graham
Sylvia Taylor
Julian Doyle
Margarita Doyle
Zack Matalon
Scott Mike
William Palin
Tom Raeburn
Brian Ross
Roy Forge Smith
John Thornton
Maggie Weston
Terence Bayler
Kenneth Colley
Charles McKeown
Gwen Taylor
Sue Jones-Davies
Peter Brett
John Case
Chris Langham
Andrew MacLachlan
Bernard McKenna
Spike Milligan
George Harrison
Ellen Burstyn
Linda Blair
Max von Sydow
Lee J. Cobb
Kitty Winn
Jack MacGowran
Jason Miller
William O'Malley
Barton Heyman
Peter Masterson
Rudolf Schündler
Gina Petrushka
Robert Symonds
Arthur Storch
Thomas Bermingham
Vasiliki Maliaros
Titos Vandis
John Mahon
Wallace Rooney
Ron Faber
Donna Mitchell
Roy Cooper
Robert Gerringer
Mercedes McCambridge
Paul Bateson
Elinore Blair
William Peter Blatty
Mary Boylan
Mason Curry
Toni Darnay
Eileen Dietz
Joanne Dusseau
Bernard Eismann
Beatrice Hunter
Yvonne Jones
Don LaBonte
Barton Lane
Ann Miles
John Nicola
Vincent Russell
Gerard F. Yates
William Friedkin
Clint Eastwood
Harry Guardino
Reni Santoni
John Vernon
Andrew Robinson
John Larch
John Mitchum
Mae Mercer
Lyn Edgington
Ruth Kobart
Woodrow Parfrey
Josef Sommer
William Paterson
James Nolan
Maurice Argent
Jo De Winter
Craig Kelly
Albert Popwell
Joy Carlin
Bill Couch
Diana Davidson
Vince Deadrick Sr.
Chuck Dorsett
Al Dunlap
Larry Duran
George Fargo
Lois Foraker
Max Gail
John Garber
Christopher Pray
Eddie Garrett
James W. Gavin
David Gilliam
Don Haggerty
Scott Hale
Kate Harper
Bob Harris
Chuck Hicks
Raymond Johnson
Richard Lawson
Laurie Mock
Ann Noland
Kathleen O'Malley
Angela Paton
Victor Paul
Debralee Scott
Don Siegel
Kristoffer Tabori
Tony Dario
Marc Hertsens
Gordon Chapli
Janet Wisely
Pamela Tanimura
Richard Samuelson
Derek Jue
Sean Maley
Diane Darnell
Audrey Hepburn
Rex Harrison
Stanley Holloway
Wilfrid Hyde-White
Gladys Cooper
Jeremy Brett
Theodore Bikel
Mona Washbourne
Isobel Elsom
John Holland
Colin Kenny
Bert Stevens
Frank Baker
Marjorie Bennett
Betty Blythe
Arthur Tovey
Marni Nixon
Al Bain
William Beckley
Lillian Kemble-Cooper
Henry Daniell
Brendan Dillon
George Cukor
Brooke Shields
Christopher Atkins
Leo McKern
William Daniels
Jeffrey Kleiser
Gus Mercurio
Elva Josephson
Glenn Kohan
Bradley Pryce
Chad Timmerman
Gert Jacoby
Alex Hamilton
Richard Evanson
Randal Kleiser
Warren Beatty
Faye Dunaway
Michael J. Pollard
Gene Hackman
Estelle Parsons
Denver Pyle
Dub Taylor
Evans Evans
Gene Wilder
Mabel Cavitt
Patrick Cranshaw
Owen Bush
Clyde Howdy
Russ Marker
Ann Palmer
Ken Mayer
Arthur Penn
Burt Lancaster
Lee Marvin
Robert Ryan
Woody Strode
Jack Palance
Claudia Cardinale
Ralph Bellamy
Joe De Santis
Rafael Bertrand
Jorge Martínez de Hoyos
Marie Gomez
José Chávez
Carlos Romero
Vaughn Taylor
Elizabeth Campbell
Don Carlos
Leigh Chapman
Roberto Contreras
Dirk Evans
Darwin Lamb
Eddie Little Sky
John Lopez
John McKee
Philip L. Parslow
Ron Veto
Richard Brooks
Gregory Peck
David Niven
Anthony Quinn
Stanley Baker
Anthony Quayle
James Darren
Irene Papas
Gia Scala
James Robertson Justice
Richard Harris
Bryan Forbes
Allan Cuthbertson
Michael Trubshawe
Percy Herbert
George Mikell
Walter Gotell
Tutte Lemkow
Albert Lieven
Norman Wooland
Kleo Skouloudi
Nicholas Papakonstantinou
Christopher Rhodes
William Hoehne Jr.
J. Lee Thompson
Yasuo Yamada
Eiko Masuyama
Kiyoshi Kobayashi
Gorō Naya
Sumi Shimamoto
Tarô Ishida
Akio Nojima
Eken Mine
Ichirō Nagai
Junkichi Yarita
Kinpei Azusa
Kōhei Miyauchi
Mikio Terashima
Minoru Midorikawa
Osamu Saka
Shigeharu Matsuda
Shozo Hirabayashi
Tadamichi Tsuneizumi
Yoko Yamaoka
Makio Inoue
Hayao Miyazaki
David Carradine
Keith Carradine
Robert Carradine
James Keach
Stacy Keach
Dennis Quaid
Randy Quaid
Kevin Brophy
"Harry Carey, Jr."
Christopher Guest
Nicholas Guest
Shelby Leverington
Felice Orlandi
Pamela Reed
James Remar
Fran Ryan
Savannah Smith Boucher
Amy Stryker
James Whitmore Jr.
John Bottoms
West Buchanan
Edward Bunker
Martina Deignan
Allan Graf
Chris Mulkey
Thomas Myers
Marlise Karlin
Glenn Robards
Tim Rossovich
Lin Shaye
Gary Watkins
Peter Jason
Duke Stroud
Steven Chambers
William Traylor
J. Don Ferguson
Hugh McGraw
Prentiss Rowe
Stuart Mossman
Michael Lackey
Mitch Greenhill
Bill Bryson
Tom Sauber
Jimmy Medearis
Edgar McLeod
Luis Contreras
Kalen Keach
R.B. Thrift
Ry Cooder
