person_id,user_id,reaction
1,918,DISLIKE
1,240,LIKE
1,552,LIKE
1,667,DISLIKE
1,668,LIKE
2,789,DISLIKE
2,303,LIKE
2,496,LIKE
2,946,DISLIKE
2,897,LIKE
2,639,LIKE
2,204,DISLIKE
2,190,LIKE
2,864,LIKE
2,686,DISLIKE
2,823,LIKE
2,830,LIKE
3,425,DISLIKE
3,114,LIKE
3,490,LIKE
3,206,DISLIKE
3,240,LIKE
3,544,LIKE
3,13,DISLIKE
3,29,LIKE
3,701,LIKE
3,922,DISLIKE
3,806,LIKE
3,834,LIKE
3,471,DISLIKE
3,950,LIKE
3,874,LIKE
3,779,DISLIKE
3,466,LIKE
3,557,LIKE
3,833,DISLIKE
4,470,DISLIKE
4,200,LIKE
4,142,LIKE
4,442,DISLIKE
4,463,LIKE
4,924,LIKE
4,860,DISLIKE
4,801,LIKE
4,529,LIKE
4,855,DISLIKE
5,179,DISLIKE
5,112,LIKE
5,434,LIKE
5,749,DISLIKE
5,868,LIKE
5,208,LIKE
5,104,DISLIKE
5,429,LIKE
5,786,LIKE
5,727,DISLIKE
5,332,LIKE
5,2,LIKE
5,856,DISLIKE
5,331,LIKE
5,645,LIKE
5,660,DISLIKE
5,136,LIKE
5,542,LIKE
5,295,DISLIKE
5,783,LIKE
6,200,DISLIKE
6,156,LIKE
6,601,LIKE
6,928,DISLIKE
6,163,LIKE
6,715,LIKE
6,561,DISLIKE
6,869,LIKE
6,420,LIKE
6,645,DISLIKE
6,291,LIKE
6,174,LIKE
6,74,DISLIKE
6,886,LIKE
6,761,LIKE
6,862,DISLIKE
6,641,LIKE
6,658,LIKE
6,2,DISLIKE
6,166,LIKE
6,606,LIKE
6,121,DISLIKE
6,368,LIKE
6,637,LIKE
6,453,DISLIKE
6,624,LIKE
6,593,LIKE
6,931,DISLIKE
7,260,DISLIKE
7,666,LIKE
7,816,LIKE
7,801,DISLIKE
7,627,LIKE
7,271,LIKE
7,938,DISLIKE
8,232,DISLIKE
8,607,LIKE
8,15,LIKE
8,199,DISLIKE
8,738,LIKE
8,262,LIKE
8,548,DISLIKE
8,385,LIKE
8,459,LIKE
8,712,DISLIKE
8,289,LIKE
9,88,DISLIKE
9,570,LIKE
9,260,LIKE
9,273,DISLIKE
9,817,LIKE
9,543,LIKE
9,647,DISLIKE
9,859,LIKE
9,187,LIKE
9,813,DISLIKE
9,869,LIKE
9,391,LIKE
9,436,DISLIKE
9,866,LIKE
9,915,LIKE
9,412,DISLIKE
9,919,LIKE
9,359,LIKE
9,267,DISLIKE
10,45,DISLIKE
10,323,LIKE
10,140,LIKE
10,588,DISLIKE
10,480,LIKE
10,666,LIKE
10,245,DISLIKE
10,377,LIKE
10,72,LIKE
10,211,DISLIKE
11,217,DISLIKE
11,166,LIKE
12,281,DISLIKE
12,880,LIKE
12,361,LIKE
12,334,DISLIKE
12,38,LIKE
12,618,LIKE
12,713,DISLIKE
12,864,LIKE
12,7,LIKE
12,103,DISLIKE
12,532,LIKE
12,249,LIKE
12,449,DISLIKE
12,930,LIKE
12,828,LIKE
12,655,DISLIKE
12,112,LIKE
12,329,LIKE
12,550,DISLIKE
12,701,LIKE
12,113,LIKE
12,63,DISLIKE
13,927,DISLIKE
13,296,LIKE
13,674,LIKE
13,342,DISLIKE
13,775,LIKE
13,188,LIKE
13,712,DISLIKE
13,246,LIKE
13,730,LIKE
13,390,DISLIKE
13,173,LIKE
13,317,LIKE
13,341,DISLIKE
13,122,LIKE
13,274,LIKE
13,527,DISLIKE
13,622,LIKE
13,811,LIKE
13,661,DISLIKE
13,7,LIKE
13,899,DISLIKE
13,232,LIKE
13,766,LIKE
13,110,DISLIKE
13,235,LIKE
13,900,LIKE
13,343,DISLIKE
13,685,LIKE
13,419,LIKE
14,666,DISLIKE
14,197,LIKE
14,2,LIKE
14,665,DISLIKE
14,252,LIKE
14,118,LIKE
14,916,DISLIKE
14,242,LIKE
14,43,LIKE
14,388,DISLIKE
14,700,LIKE
14,375,LIKE
14,829,DISLIKE
14,856,LIKE
14,387,LIKE
14,290,DISLIKE
14,36,LIKE
15,757,DISLIKE
15,823,LIKE
15,930,LIKE
15,753,DISLIKE
15,155,LIKE
15,767,LIKE
15,794,DISLIKE
15,209,LIKE
15,870,LIKE
15,288,DISLIKE
15,223,LIKE
15,669,LIKE
15,440,DISLIKE
15,680,LIKE
15,772,LIKE
15,287,DISLIKE
15,567,LIKE
15,332,LIKE
15,821,DISLIKE
15,261,LIKE
15,379,LIKE
15,537,DISLIKE
15,254,LIKE
15,182,DISLIKE
15,463,LIKE
16,809,DISLIKE
16,77,LIKE
16,732,LIKE
16,873,DISLIKE
16,930,LIKE
16,684,LIKE
16,533,DISLIKE
16,500,LIKE
16,295,LIKE
16,945,DISLIKE
16,461,LIKE
16,942,LIKE
16,325,DISLIKE
16,65,LIKE
16,454,LIKE
16,485,DISLIKE
16,373,LIKE
16,443,LIKE
16,260,DISLIKE
16,615,LIKE
16,430,LIKE
16,757,DISLIKE
16,381,LIKE
16,914,LIKE
16,927,DISLIKE
16,560,LIKE
17,15,DISLIKE
17,373,LIKE
17,148,LIKE
17,485,DISLIKE
17,186,LIKE
17,578,LIKE
17,449,DISLIKE
17,918,LIKE
17,603,LIKE
17,86,DISLIKE
17,429,LIKE
17,106,LIKE
17,304,DISLIKE
17,724,LIKE
17,926,LIKE
17,500,DISLIKE
17,559,LIKE
17,53,LIKE
17,239,DISLIKE
17,914,LIKE
17,340,LIKE
17,647,DISLIKE
17,902,LIKE
17,945,LIKE
17,841,DISLIKE
18,9,DISLIKE
18,895,LIKE
18,481,LIKE
18,759,DISLIKE
18,352,LIKE
18,365,LIKE
18,269,DISLIKE
18,584,LIKE
18,145,LIKE
18,642,DISLIKE
18,521,LIKE
18,348,LIKE
18,283,DISLIKE
18,544,LIKE
18,894,LIKE
18,921,DISLIKE
18,604,LIKE
19,176,DISLIKE
19,630,LIKE
19,513,LIKE
19,229,DISLIKE
19,155,LIKE
19,778,LIKE
19,167,DISLIKE
19,774,LIKE
20,97,DISLIKE
20,545,LIKE
20,17,LIKE
20,761,DISLIKE
20,836,LIKE
20,592,LIKE
20,215,DISLIKE
20,604,LIKE
20,867,LIKE
20,638,DISLIKE
20,293,LIKE
20,116,LIKE
20,689,DISLIKE
20,543,LIKE
20,849,LIKE
20,782,DISLIKE
20,781,LIKE
20,572,LIKE
20,422,DISLIKE
20,656,LIKE
20,844,LIKE
20,397,DISLIKE
20,941,LIKE
20,158,LIKE
20,385,DISLIKE
20,39,LIKE
20,655,LIKE
20,445,DISLIKE
20,79,LIKE
21,828,DISLIKE
21,449,LIKE
21,892,LIKE
21,497,DISLIKE
21,850,LIKE
21,29,LIKE
21,26,DISLIKE
21,214,LIKE
21,883,LIKE
21,887,DISLIKE
21,169,LIKE
21,863,LIKE
21,271,DISLIKE
21,32,LIKE
21,426,LIKE
21,810,DISLIKE
21,219,LIKE
21,213,LIKE
21,818,DISLIKE
21,107,LIKE
21,248,LIKE
21,327,DISLIKE
21,50,LIKE
21,15,LIKE
21,612,DISLIKE
21,202,LIKE
21,615,LIKE
21,168,DISLIKE
22,878,DISLIKE
22,169,LIKE
22,497,LIKE
22,15,DISLIKE
22,647,LIKE
22,490,LIKE
22,19,DISLIKE
22,860,LIKE
22,28,LIKE
22,8,DISLIKE
22,732,LIKE
22,934,LIKE
22,183,DISLIKE
22,839,LIKE
22,730,LIKE
22,234,DISLIKE
22,523,LIKE
22,709,LIKE
22,267,DISLIKE
22,371,LIKE
22,313,LIKE
22,895,DISLIKE
22,295,LIKE
22,610,LIKE
22,578,DISLIKE
23,293,DISLIKE
23,858,LIKE
23,580,LIKE
23,627,DISLIKE
23,617,LIKE
23,781,LIKE
23,582,DISLIKE
23,280,LIKE
23,429,LIKE
23,786,DISLIKE
23,315,LIKE
23,355,LIKE
24,687,DISLIKE
24,141,LIKE
24,209,LIKE
24,57,DISLIKE
24,221,LIKE
24,468,LIKE
24,763,DISLIKE
24,263,LIKE
25,515,DISLIKE
25,674,LIKE
25,689,LIKE
25,345,DISLIKE
25,243,LIKE
25,215,LIKE
25,504,DISLIKE
25,578,LIKE
25,413,LIKE
25,608,DISLIKE
25,244,LIKE
26,268,DISLIKE
26,623,LIKE
26,200,LIKE
26,51,DISLIKE
26,435,LIKE
26,861,LIKE
26,636,DISLIKE
26,155,LIKE
26,361,LIKE
26,94,DISLIKE
26,723,LIKE
26,515,LIKE
26,693,DISLIKE
26,616,LIKE
26,835,LIKE
26,295,DISLIKE
26,365,LIKE
26,915,LIKE
26,267,DISLIKE
26,504,LIKE
26,192,LIKE
26,947,DISLIKE
27,101,DISLIKE
27,581,LIKE
27,68,LIKE
27,17,DISLIKE
27,632,LIKE
27,507,LIKE
27,376,DISLIKE
27,71,LIKE
27,401,LIKE
27,798,DISLIKE
27,593,LIKE
27,154,LIKE
27,414,DISLIKE
27,811,LIKE
27,842,LIKE
27,433,DISLIKE
27,227,LIKE
27,333,LIKE
27,911,DISLIKE
27,186,LIKE
27,214,LIKE
27,532,DISLIKE
27,15,LIKE
27,912,LIKE
27,411,DISLIKE
28,802,DISLIKE
28,206,LIKE
28,158,LIKE
28,315,DISLIKE
28,204,LIKE
28,918,LIKE
28,654,DISLIKE
28,633,LIKE
29,22,DISLIKE
29,559,LIKE
29,25,LIKE
29,756,DISLIKE
29,744,LIKE
29,656,LIKE
29,368,DISLIKE
30,53,DISLIKE
30,325,LIKE
30,932,LIKE
30,499,DISLIKE
30,320,LIKE
30,477,LIKE
30,924,DISLIKE
30,452,LIKE
30,697,LIKE
30,776,DISLIKE
30,118,LIKE
30,911,LIKE
30,282,DISLIKE
30,668,LIKE
31,304,DISLIKE
31,391,LIKE
31,58,LIKE
31,752,DISLIKE
31,673,LIKE
31,414,LIKE
31,690,DISLIKE
31,905,LIKE
31,517,LIKE
31,373,DISLIKE
32,690,DISLIKE
32,918,LIKE
32,331,LIKE
32,766,DISLIKE
32,472,LIKE
32,574,LIKE
32,15,DISLIKE
32,327,LIKE
32,694,LIKE
32,675,DISLIKE
32,695,LIKE
32,573,LIKE
32,821,DISLIKE
32,775,LIKE
32,2,LIKE
33,419,DISLIKE
33,96,LIKE
33,541,LIKE
33,97,DISLIKE
33,445,LIKE
33,845,LIKE
33,479,DISLIKE
33,340,LIKE
34,427,DISLIKE
34,249,LIKE
34,886,LIKE
34,631,DISLIKE
35,682,DISLIKE
35,147,LIKE
35,133,LIKE
35,776,DISLIKE
35,87,LIKE
35,346,LIKE
35,237,DISLIKE
35,316,LIKE
35,250,LIKE
35,122,DISLIKE
35,874,LIKE
35,641,LIKE
35,808,DISLIKE
35,549,LIKE
35,135,LIKE
36,189,DISLIKE
36,378,LIKE
36,653,LIKE
36,836,DISLIKE
36,425,LIKE
36,172,LIKE
36,437,DISLIKE
36,947,LIKE
36,84,LIKE
36,430,DISLIKE
36,936,LIKE
36,368,LIKE
36,300,DISLIKE
36,580,LIKE
36,475,LIKE
36,28,DISLIKE
36,658,LIKE
36,117,LIKE
36,488,DISLIKE
36,426,LIKE
36,35,LIKE
36,516,LIKE
36,83,LIKE
36,212,DISLIKE
36,728,LIKE
36,48,LIKE
37,415,DISLIKE
37,642,LIKE
38,245,DISLIKE
38,307,LIKE
38,312,LIKE
38,179,DISLIKE
