title,type,release_year,mpa_rating,runtime,seasons,imdb_id,imdb_score,imdb_votes
Taxi Driver,MOVIE,1976,R,113,,tt0075314,8.3,795222
Monty Python and the Holy Grail,MOVIE,1975,PG,91,,tt0071853,8.2,530877
Life of Brian,MOVIE,1979,R,94,,tt0079470,8.0,392419
The Exorcist,MOVIE,1973,R,133,,tt0070047,8.1,391942
Monty Python's Flying Circus,SHOW,1969,TV_14,30,4.0,tt0063929,8.8,72895
Dirty Harry,MOVIE,1971,R,102,,tt0066999,7.7,153463
My Fair Lady,MOVIE,1964,G,170,,tt0058385,7.8,94121
The Blue Lagoon,MOVIE,1980,R,104,,tt0080453,5.8,69053
Bonnie and Clyde,MOVIE,1967,R,110,,tt0061418,7.7,111189
The Professionals,MOVIE,1966,PG_13,117,,tt0060862,7.3,16168
The Guns of Navarone,MOVIE,1961,NOT_RATED,158,,tt0054953,7.5,50150
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,,tt0079833,7.6,30277
The Long Riders,MOVIE,1980,R,99,,tt0081071,6.9,11329
White Christmas,MOVIE,1954,NOT_RATED,115,,tt0047673,7.5,42373
Top Gun,MOVIE,1986,PG,110,,tt0092099,6.9,329656
Seinfeld,SHOW,1989,TV_PG,24,9.0,tt0098904,8.9,302700
Stand by Me,MOVIE,1986,R,89,,tt0092005,8.1,392790
Once Upon a Time in America,MOVIE,1984,R,229,,tt0087843,8.3,342335
When Harry Met Sally...,MOVIE,1989,R,96,,tt0098635,7.7,212913
Full Metal Jacket,MOVIE,1987,R,116,,tt0093058,8.3,723306
Christine,MOVIE,1983,R,90,,tt0085333,6.7,80945
A Nightmare on Elm Street,MOVIE,1984,R,91,,tt0087800,7.4,230543
Knight Rider,SHOW,1982,TV_PG,51,4.0,tt0083437,6.9,33760
Awakenings,MOVIE,1990,PG_13,120,,tt0099077,7.8,137549
Annie,MOVIE,1982,PG,127,,tt0083564,6.6,44866
Eddie Murphy Raw,MOVIE,1987,R,93,,tt0092948,7.6,19646
Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,,tt0084352,7.9,15186
Stargate SG-1,SHOW,1997,TV_PG,44,10.0,tt0118480,8.4,90196
Forrest Gump,MOVIE,1994,PG_13,142,,tt0109830,8.8,1994599
Happy Gilmore,MOVIE,1996,PG_13,92,,tt0116483,7.0,217534
One Piece,SHOW,1999,TV_14,23,21.0,tt0388629,8.8,112586
Saving Private Ryan,MOVIE,1998,R,169,,tt0120815,8.6,1346020
Cowboy Bebop,SHOW,1998,TV_14,25,1.0,tt0213338,8.9,112887
Star Trek: Deep Space Nine,SHOW,1993,TV_PG,47,7.0,tt0106145,8.1,61145
Gattaca,MOVIE,1997,PG_13,106,,tt0119177,7.8,298168
Gilmore Girls,SHOW,2000,TV_14,46,8.0,tt0238784,8.2,119054
Blade,MOVIE,1998,R,120,,tt0120611,7.1,267181
Starship Troopers,MOVIE,1997,R,129,,tt0120201,7.3,288960
Neon Genesis Evangelion,SHOW,1995,TV_14,24,1.0,tt0112159,8.5,64727
Donnie Brasco,MOVIE,1997,R,127,,tt0119008,7.7,300073
Seven Years in Tibet,MOVIE,1997,PG_13,136,,tt0120102,7.1,141308
The Devil's Advocate,MOVIE,1997,NOT_RATED,144,,tt0118971,7.5,361422
A River Runs Through It,MOVIE,1992,PG,123,,tt0105265,7.2,59086
"Girl, Interrupted",MOVIE,1999,R,127,,tt0172493,7.3,180532
Goosebumps,SHOW,1995,TV_PG,22,4.0,tt0111987,7.6,13361
InuYasha,SHOW,2000,TV_14,25,9.0,tt0290223,7.9,15823
Any Given Sunday,MOVIE,1999,R,162,,tt0146838,6.9,118479
Menace II Society,MOVIE,1993,R,97,,tt0107554,7.5,57399
Desperado,MOVIE,1995,R,104,,tt0112851,7.1,183638
The Patriot,MOVIE,2000,R,165,,tt0187393,7.2,270231
