id,production_countries
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
11,1
12,2
13,0
14,0
15,0
16,0
17,0
18,0
18,3
19,0
20,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
28,4
29,0
30,0
31,2
32,0
33,2
34,0
35,0
36,0
37,0
38,0
39,2
40,0
41,0
42,5
42,0
43,0
44,0
44,5
45,4
45,0
46,2
47,0
48,0
49,0
50,5
50,0
51,0
52,0
53,0
54,2
55,6
55,7
55,1
55,5
56,8
57,8
58,8
59,8
60,8
61,0
62,0
63,6
64,1
65,0
66,0
67,0
68,0
69,4
70,0
71,0
72,0
73,1
74,0
75,0
76,1
76,0
77,0
78,0
79,1
79,0
79,9
79,10
79,5
80,0
81,4
81,0
82,2
83,0
84,0
85,0
86,0
87,2
88,0
89,0
90,0
91,5
91,11
91,0
91,6
92,0
93,1
93,0
93,12
93,5
94,1
94,0
95,1
95,0
96,0
97,0
98,2
98,0
99,4
100,0
101,0
102,0
102,5
103,0
103,13
103,1
104,14
105,15
105,2
105,0
106,0
107,0
108,1
109,0
110,1
110,0
111,0
112,0
113,0
113,5
114,2
115,0
116,2
117,16
117,17
118,0
118,5
119,0
120,6
120,2
120,0
121,0
122,1
122,0
123,0
124,8
125,18
126,0
127,1
128,2
129,8
130,0
130,12
131,0
132,0
133,2
134,17
134,16
135,8
136,0
137,11
137,6
137,19
138,8
139,4
140,8
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
148,0
149,8
150,8
151,8
152,8
153,8
154,8
155,20
156,8
157,8
158,8
159,8
160,20
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
188,1
189,0
189,11
190,1
191,0
192,2
193,1
193,0
194,0
195,21
195,22
195,0
196,0
196,1
197,0
198,0
199,2
200,4
200,23
200,0
201,2
202,0
203,0
204,21
205,2
206,2
207,2
208,2
209,1
209,0
210,18
211,2
212,0
213,8
214,8
215,8
216,8
217,5
217,8
218,8
219,8
220,8
221,8
222,8
223,0
224,1
225,2
226,0
227,6
227,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
233,1
234,0
235,0
236,0
237,0
237,5
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,12
250,0
251,2
252,1
253,0
254,2
255,1
256,0
257,1
257,12
257,24
258,20
259,0
260,5
261,0
262,0
263,0
263,14
264,0
265,18
266,8
267,25
267,1
268,26
269,8
270,8
271,8
272,8
273,8
274,8
275,8
276,8
277,8
278,20
279,27
279,0
279,17
279,5
279,28
280,20
281,29
282,8
283,0
284,1
285,0
286,4
287,0
288,0
289,0
290,2
291,0
292,0
293,0
293,1
294,6
295,15
296,0
297,0
298,30
298,6
299,0
299,17
300,0
301,0
302,0
303,4
304,0
305,0
306,1
307,21
308,0
309,0
310,0
311,4
312,0
312,6
312,1
313,0
314,6
315,0
316,0
317,0
318,4
319,4
319,6
320,0
321,1
321,0
322,0
323,2
324,1
324,3
325,31
326,32
327,0
328,8
329,2
330,0
331,0
332,2
333,0
334,11
334,0
334,1
335,0
336,0
337,1
337,0
338,0
339,5
339,1
339,0
339,30
